Date: 2023-08-08, North Movement: 4.5090001076459885, East Movement: -1.8260000506415963
Date: 2023-08-09, North Movement: 10.493999812752008, East Movement: 8.380999905057251
Date: 2023-08-10, North Movement: 6.899999920278788, East Movement: 10.034000035375357
Date: 2023-08-11, North Movement: -1.8640002235770226, East Movement: -31.765999970957637
Date: 2023-08-12, North Movement: 4.904000088572502, East Movement: 2.7669999981299043
Date: 2023-08-13, North Movement: 2.2720000706613064, East Movement: 0.2589999930933118
Date: 2023-08-14, North Movement: 6.271000020205975, East Movement: 1.3549999566748738
Date: 2023-08-15, North Movement: 6.521000061184168, East Movement: 3.1900000758469105
Date: 2023-08-17, North Movement: 2.3230002261698246, East Movement: 0.6519999587908387
Date: 2023-08-18, North Movement: 4.095999989658594, East Movement: -5.807999987155199
Date: 2023-08-19, North Movement: 6.889000069350004, East Movement: 5.212999996729195
Date: 2023-08-20, North Movement: 4.562000278383493, East Movement: -3.4570000134408474
Date: 2023-08-21, North Movement: 4.848000127822161, East Movement: -0.6680000806227326
Date: 2023-08-22, North Movement: 10.726999957114458, East Movement: 8.833999978378415
Date: 2023-08-23, North Movement: 10.222000069916248, East Movement: 9.033999987877905
Date: 2023-08-24, North Movement: 5.206000059843063, East Movement: 3.726000082679093
Date: 2023-08-25, North Movement: 8.026999887079, East Movement: 7.411999977193773
Date: 2023-08-26, North Movement: -0.8319998160004616, East Movement: -3.4000000450760126
Date: 2023-08-27, North Movement: 0.34899963065981865, East Movement: -3.8270000368356705
Date: 2023-08-28, North Movement: 2.0570000633597374, East Movement: -3.0819999519735575
Date: 2023-08-29, North Movement: 8.590999990701675, East Movement: 10.59199997689575
Date: 2023-08-30, North Movement: 10.743000078946352, East Movement: 2.4289999855682254
Date: 2023-08-31, North Movement: 11.843000072985888, East Movement: 3.098999965004623
Date: 2023-09-01, North Movement: 6.761999800801277, East Movement: 6.212000036612153
Date: 2023-09-02, North Movement: 3.7400000728666782, East Movement: -2.2279999684542418
Date: 2023-09-03, North Movement: 12.83100014552474, East Movement: 10.66899998113513
Date: 2023-09-04, North Movement: 12.316999956965446, East Movement: 4.422000027261674
Date: 2023-09-05, North Movement: 10.792999994009733, East Movement: 7.117999950423837
Date: 2023-09-06, North Movement: 14.462999999523163, East Movement: 4.768999991938472
Date: 2023-09-07, North Movement: 12.72499980404973, East Movement: 12.044000090099871
Date: 2023-09-08, North Movement: 13.164000120013952, East Movement: 3.3889999613165855
Date: 2023-09-09, North Movement: 13.742999639362097, East Movement: 10.437999968416989
Date: 2023-09-10, North Movement: 5.312999710440636, East Movement: 4.917999962344766
Date: 2023-11-25, North Movement: 5.927999969571829, East Movement: -3.029000014066696
